url_length,host_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at,num_ampersand,num_equals,num_question,num_percent,num_digits,digit_ratio,special_char_ratio,has_https,host_is_ip,num_subdomains,shannon_entropy,relative_entropy,has_login,has_signin,has_verify,has_verification,has_secure,has_account,has_update,has_confirm,has_password,has_bank,has_billing,has_paypal,label
43,19,17,0,3,0,0,4,0,0,0,0,0,0,0.0,0.18604651162790697,0,0,1,4.109306836490687,0.31705504294268844,0,0,0,0,0,0,0,0,0,0,0,0,0
50,13,30,0,3,3,0,3,0,0,0,0,0,1,0.02,0.2,0,0,1,4.155783629896564,0.31737411501070506,0,0,0,0,0,0,0,0,0,0,0,0,0
50,15,28,0,2,6,0,3,0,0,0,0,0,0,0.0,0.24,0,0,1,4.225979129983103,0.5709685504259442,0,0,0,0,0,0,0,0,0,0,0,0,0
87,16,64,0,2,0,4,6,0,0,1,0,0,0,0.0,0.1839080459770115,0,0,1,4.648058692188715,0.6876897954277997,0,0,0,0,0,0,0,0,0,0,0,0,0
68,12,49,0,1,5,0,7,0,0,0,0,0,8,0.11764705882352941,0.20588235294117646,0,0,0,4.530632196206695,0.35480935008324016,0,0,0,0,0,0,0,0,0,0,0,0,0
25,17,1,0,2,1,0,3,0,0,0,0,0,0,0.0,0.28,0,0,1,3.8332696895151073,0.661969558178453,0,0,0,0,0,0,0,0,0,0,0,0,0
98,21,70,0,1,0,7,4,0,0,0,0,0,0,0.0,0.1326530612244898,0,0,0,4.403125667929039,0.566061463192636,0,0,0,0,0,0,0,0,0,0,0,0,0
166,10,31,0,3,7,0,3,1,2,1,0,0,62,0.37349397590361444,0.13253012048192772,0,0,0,4.940716167395089,1.2811352844227704,0,0,0,0,0,0,0,0,0,0,0,0,1
99,11,81,0,1,0,0,5,0,0,0,0,0,12,0.12121212121212122,0.0707070707070707,0,0,0,5.492957696200646,1.6052619977068951,0,0,0,0,0,0,0,0,0,0,0,0,1
38,25,6,0,2,0,0,3,0,0,0,0,0,8,0.21052631578947367,0.15789473684210525,0,0,1,4.45148902643068,0.8826858039909438,0,0,0,0,0,0,0,0,0,0,0,0,1
42,22,13,0,2,1,0,4,0,0,0,0,0,0,0.0,0.19047619047619047,0,0,1,4.243158791671846,0.38462381782220934,0,0,0,0,0,0,0,0,0,0,0,0,0
32,21,4,0,2,1,0,4,0,0,0,0,0,0,0.0,0.25,0,0,1,4.054229296672174,0.34708364696264643,0,0,0,0,0,0,0,0,0,0,0,0,1
104,28,59,8,2,2,2,6,0,0,1,1,0,3,0.028846153846153848,0.16346153846153846,1,0,1,5.411850598253163,0.9906487586267042,0,0,0,0,0,0,0,0,0,0,0,0,1
26,18,1,0,2,0,0,3,0,0,0,0,0,0,0.0,0.23076923076923078,0,0,1,3.8731406795131322,0.31777136105835624,0,0,0,0,0,0,0,0,0,0,0,0,0
55,18,30,0,2,1,0,8,0,0,0,0,0,8,0.14545454545454545,0.21818181818181817,0,0,1,4.349922332557376,0.3936716519893159,0,0,0,0,0,0,0,0,0,0,0,0,0
77,24,46,0,2,1,1,6,0,0,0,0,0,0,0.0,0.14285714285714285,0,0,1,4.294855991162371,0.16420775580443253,0,0,0,0,0,0,0,0,0,0,0,0,1
58,17,34,0,3,2,0,3,0,0,0,0,0,0,0.0,0.15517241379310345,0,0,1,4.082227228581176,0.28399848697220526,0,0,0,0,0,0,0,0,0,0,0,0,0
26,17,1,0,2,1,0,3,0,0,0,0,0,0,0.0,0.2692307692307692,1,0,1,3.9210296217376137,0.42699677140731884,0,0,0,0,0,0,0,0,0,0,0,0,1
114,68,39,0,6,1,0,5,0,0,0,0,0,57,0.5,0.11403508771929824,0,0,5,4.640055248952033,1.3161181021381145,0,0,0,0,0,0,0,0,0,0,0,1,1
29,17,5,0,2,0,0,3,0,0,0,0,0,0,0.0,0.20689655172413793,0,0,1,4.0472990984266435,0.6026372408832839,0,0,0,0,0,0,0,0,0,0,0,0,1
