url_length,host_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at,num_ampersand,num_equals,num_question,num_percent,num_digits,digit_ratio,special_char_ratio,has_https,host_is_ip,num_subdomains,shannon_entropy,relative_entropy,has_login,has_signin,has_verify,has_verification,has_secure,has_account,has_update,has_confirm,has_password,has_bank,has_billing,has_paypal,label
64,18,39,0,2,1,0,7,0,0,0,0,0,0,0.0,0.171875,0,0,1,4.138508938909887,0.28470882817623394,0,0,0,0,0,0,0,0,0,0,0,0,1
39,30,1,0,2,0,0,3,0,0,0,0,0,0,0.0,0.15384615384615385,1,0,1,4.092342603144792,0.26364795210446756,0,0,0,0,0,0,0,0,0,0,0,0,0
53,23,22,0,2,1,0,4,0,0,0,0,1,2,0.03773584905660377,0.16981132075471697,1,0,1,4.348308841756336,0.2667079774364788,0,0,0,0,0,0,0,0,0,0,0,0,0
34,17,9,0,2,0,0,4,0,0,0,0,0,0,0.0,0.20588235294117646,1,0,1,4.02085512047121,0.31722297859464677,0,0,0,0,0,0,0,0,0,0,0,0,0
33,16,9,0,2,0,0,4,0,0,0,0,0,0,0.0,0.21212121212121213,1,0,1,4.025920165587641,0.7230375490066716,0,0,0,0,0,0,0,0,0,0,0,0,0
29,14,8,0,2,0,0,3,0,0,0,0,0,0,0.0,0.20689655172413793,0,0,1,3.9523029776623857,0.908470318778183,0,0,0,0,0,0,0,0,0,0,0,0,1
71,35,29,0,2,2,1,5,0,0,0,0,0,6,0.08450704225352113,0.15492957746478872,0,0,1,4.5092166699968645,0.285702694349399,0,0,0,1,0,0,0,0,0,0,0,1,1
37,18,12,0,2,0,0,4,0,0,0,0,0,0,0.0,0.1891891891891892,0,0,1,4.262979041070738,0.4534551406318284,0,0,0,0,0,0,0,0,0,0,0,0,1
31,23,1,0,2,1,0,3,0,0,0,0,0,0,0.0,0.22580645161290322,0,0,1,3.92599298842148,0.3880008050531433,0,0,0,0,0,0,0,0,0,0,0,0,0
27,18,1,0,2,0,0,3,0,0,0,0,0,0,0.0,0.2222222222222222,1,0,1,3.5137847242254345,0.5817662969735966,0,0,0,0,0,0,0,0,0,0,0,0,0
79,18,53,0,4,1,0,7,0,0,1,0,0,8,0.10126582278481013,0.20253164556962025,1,0,1,4.7874459387869654,0.3937949010910599,0,0,0,0,0,0,0,0,0,0,0,0,0
45,16,21,0,2,0,1,4,0,0,0,0,0,0,0.0,0.17777777777777778,1,0,1,4.216651363324027,0.3691959406095039,0,0,0,0,0,0,0,0,0,0,0,0,0
24,16,1,0,2,0,0,3,0,0,0,0,0,0,0.0,0.25,0,0,1,3.605388542207534,0.5936024494151997,0,0,0,0,0,0,0,0,0,0,0,0,0
28,14,6,0,2,0,0,3,0,0,0,0,0,0,0.0,0.21428571428571427,1,0,1,4.012188403968661,0.4319354558523546,0,0,0,0,0,0,0,0,0,0,0,0,0
27,19,1,0,3,0,0,3,0,0,0,0,0,0,0.0,0.25925925925925924,0,0,2,3.8561962982193805,0.4137720340330749,0,0,0,0,0,0,0,0,0,0,0,0,1
45,29,9,0,2,0,0,5,0,0,0,0,0,1,0.022222222222222223,0.17777777777777778,0,0,1,4.017659842382177,0.4061787164366637,0,0,0,0,0,0,0,0,0,0,0,0,1
42,17,18,0,2,1,0,5,0,0,0,0,0,1,0.023809523809523808,0.21428571428571427,0,0,1,4.39531020894716,0.5331001139300663,0,0,0,0,0,0,0,0,0,0,0,0,1
133,25,82,17,2,2,3,7,0,1,2,1,1,9,0.06766917293233082,0.16541353383458646,1,0,1,5.499328373226066,0.7017620649468115,0,0,0,0,0,0,0,0,0,0,0,0,1
50,20,22,0,3,0,0,5,0,0,0,0,0,0,0.0,0.18,1,0,1,4.033786320494365,0.3006802478900489,0,0,0,0,0,0,0,0,0,0,0,0,0
29,14,8,0,1,0,0,3,0,0,0,0,0,0,0.0,0.1724137931034483,0,0,0,3.7588670992335302,0.4744753916286171,0,0,0,0,0,0,0,0,0,0,0,0,1
29,21,1,0,3,0,0,3,0,0,0,0,0,0,0.0,0.2413793103448276,0,0,2,3.9952378913808873,0.5648603400008192,0,0,0,0,0,0,0,0,0,0,0,0,0
26,15,4,0,1,0,0,4,0,0,0,0,0,0,0.0,0.23076923076923078,0,0,0,3.854285871987245,0.36378201954699324,0,0,0,0,0,0,0,0,0,0,0,0,1
218,12,33,165,3,1,1,6,0,2,3,1,0,81,0.37155963302752293,0.09174311926605505,0,0,1,4.796652604151856,1.1838873732213524,1,0,0,0,0,0,0,0,0,0,0,0,1
43,12,24,0,2,0,0,5,0,0,0,0,0,3,0.06976744186046512,0.18604651162790697,0,0,1,4.135940488298283,0.325670476252454,0,0,0,0,0,0,0,0,0,0,0,0,0
