url_length,host_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at,num_ampersand,num_equals,num_question,num_percent,num_digits,digit_ratio,special_char_ratio,has_https,host_is_ip,num_subdomains,shannon_entropy,relative_entropy,has_login,has_signin,has_verify,has_verification,has_secure,has_account,has_update,has_confirm,has_password,has_bank,has_billing,has_paypal,label
38,29,1,0,2,1,0,3,0,0,0,0,0,3,0.07894736842105263,0.18421052631578946,1,0,1,4.491219947597179,0.8443834511635119,0,0,0,0,0,0,0,0,0,0,0,0,1
32,23,1,0,2,0,0,3,0,0,0,0,0,0,0.0,0.1875,1,0,1,3.8042292966721747,0.3899304149543515,0,0,0,0,0,0,0,0,0,0,0,0,0
57,16,22,10,2,0,0,5,0,0,1,1,0,1,0.017543859649122806,0.17543859649122806,1,0,1,4.376859865749109,0.33363819758607133,0,0,0,0,0,0,0,0,0,0,0,0,1
27,19,1,0,2,0,0,3,0,0,0,0,0,0,0.0,0.2222222222222222,0,0,1,3.930270372293455,0.41649396137900013,0,0,0,0,0,0,0,0,0,0,0,0,0
28,20,1,0,2,0,0,3,0,0,0,0,0,0,0.0,0.21428571428571427,0,0,1,3.94075983254009,0.3894138976724114,0,0,0,0,0,0,0,0,0,0,0,0,0
37,19,11,0,3,0,0,3,0,0,0,0,0,0,0.0,0.1891891891891892,0,0,1,3.9927087708004674,0.38390704683804416,0,1,0,0,0,0,0,0,0,0,0,0,1
33,25,1,0,2,0,0,3,0,0,0,0,0,2,0.06060606060606061,0.18181818181818182,0,0,1,4.1272831343132905,0.43762292161262384,0,0,0,0,0,0,0,0,0,0,0,0,1
15,8,0,0,1,0,0,2,0,0,0,0,0,0,0.0,0.26666666666666666,0,0,0,3.189898095464287,0.8303001304075655,0,0,0,0,0,0,0,0,0,0,0,0,0
35,28,0,0,2,0,0,2,0,0,0,0,0,0,0.0,0.14285714285714285,0,0,1,3.900153016697712,0.40650563549845103,0,0,0,0,0,0,0,0,0,0,0,0,0
62,20,35,0,3,1,0,7,0,0,0,0,0,6,0.0967741935483871,0.1935483870967742,0,0,2,4.505963246809119,0.3448198465703796,0,0,0,0,0,0,0,0,0,0,0,0,1
34,25,1,0,2,1,0,3,0,0,0,0,0,0,0.0,0.20588235294117646,1,0,1,4.138502179294739,0.49924177972130895,0,0,0,0,0,0,0,0,0,0,0,0,1
38,18,12,0,1,0,0,4,0,0,0,1,0,0,0.0,0.18421052631578946,0,0,0,4.0053148568942785,0.6265244761047404,0,0,0,0,0,0,0,0,0,0,0,0,1
54,24,23,0,2,1,0,5,0,0,0,0,1,2,0.037037037037037035,0.18518518518518517,0,0,1,4.194134262580249,0.40405646716442356,0,0,0,0,0,0,0,0,0,0,0,0,0
91,11,72,0,3,5,0,5,0,0,0,0,0,0,0.0,0.15384615384615385,1,0,1,4.381635489323728,0.14240353194490396,0,0,0,0,0,0,0,0,0,0,0,0,0
72,38,27,0,5,2,0,4,1,0,0,0,0,6,0.08333333333333333,0.18055555555555555,0,0,3,4.63515425888651,0.6935994485459075,0,0,0,0,0,0,0,0,0,0,0,0,1
100,43,50,0,4,4,0,5,0,0,0,0,0,29,0.29,0.14,0,0,3,4.732110910503975,0.7298913068572722,0,0,0,0,0,0,0,0,0,0,0,0,1
81,20,54,0,2,1,0,9,0,0,0,0,0,0,0.0,0.16049382716049382,0,0,0,4.218299849920031,0.24565859464411027,0,0,0,0,0,0,0,0,0,0,0,0,1
53,16,29,0,2,0,2,4,0,0,0,0,0,0,0.0,0.20754716981132076,1,0,1,4.562365029830796,0.5246107693626839,0,0,0,0,0,0,0,0,0,0,0,0,0
44,22,14,0,2,0,0,4,0,0,0,0,0,0,0.0,0.1590909090909091,1,0,0,3.9711601764699322,0.3877686249120182,0,0,0,0,0,0,0,0,0,0,0,0,1
89,13,69,0,3,4,0,10,0,0,0,0,0,6,0.06741573033707865,0.20224719101123595,0,0,1,4.419444319835,0.24227499052284424,0,0,0,0,0,0,0,0,0,0,0,0,0
37,28,1,0,3,0,0,3,0,0,0,0,0,0,0.0,0.1891891891891892,1,0,2,3.9519040409537936,0.3722494041055107,0,0,0,0,0,0,0,0,0,0,0,0,0
89,21,61,0,3,1,0,9,0,0,0,0,0,1,0.011235955056179775,0.15730337078651685,0,0,1,4.416760825930196,0.23203332414058722,0,0,0,0,0,0,0,0,0,0,0,0,1
30,23,0,0,2,0,0,2,0,0,0,0,0,3,0.1,0.16666666666666666,0,0,1,3.9898980954642873,0.6359116669437872,0,0,0,0,0,0,0,0,0,0,0,0,1
38,18,13,0,2,0,0,4,0,0,0,0,0,0,0.0,0.18421052631578946,0,0,1,4.083067973799102,0.3307309681927411,0,0,0,0,0,0,0,0,0,0,0,0,0
98,11,79,0,4,0,1,6,0,0,0,0,4,10,0.10204081632653061,0.16326530612244897,1,0,1,4.705357737615909,0.3772043689868853,0,0,0,0,0,0,0,0,0,0,0,0,0
58,41,10,0,5,0,0,3,0,0,0,0,0,0,0.0,0.15517241379310345,0,0,3,4.101251419059801,0.27182075699906805,0,0,0,0,0,0,0,0,0,0,0,0,1
40,33,0,0,2,1,0,2,0,0,0,0,0,8,0.2,0.15,0,0,1,4.53418371977919,0.5412287597165978,0,0,0,0,0,0,0,0,0,0,0,0,0
20,11,1,0,1,0,0,3,0,0,0,0,0,0,0.0,0.25,1,0,0,3.6841837197791887,0.4747707297212278,0,0,0,0,0,0,0,0,0,0,0,0,0
56,26,22,0,2,2,0,5,0,0,0,0,0,0,0.0,0.17857142857142858,1,0,1,4.195947226387471,0.2428836822190868,0,0,0,0,0,0,0,0,0,0,0,0,0
33,15,11,0,3,0,0,3,0,0,0,0,0,0,0.0,0.21212121212121213,0,0,1,3.9374448765408534,0.6161756797794539,0,0,0,0,0,0,0,0,0,0,0,0,0
43,16,19,0,2,0,1,4,0,0,0,0,0,0,0.0,0.18604651162790697,1,0,1,4.161973406409068,0.4197044013309409,0,0,0,0,0,0,0,0,0,0,0,0,0
76,16,53,0,2,1,0,9,0,0,0,0,0,0,0.0,0.17105263157894737,0,0,0,4.299870033369209,0.32142632232434903,1,0,0,0,0,0,0,0,0,0,0,0,1
27,19,1,0,2,0,0,3,0,0,0,0,0,0,0.0,0.2222222222222222,0,0,1,3.680089353694807,0.49092644471358166,0,0,0,0,0,0,0,0,0,0,0,0,0
